n_clusters,silhouette_score
2,0.41519081458031365
3,0.2996678976928097
4,0.26713679854401196
5,0.2932105701681529
6,0.2736599241813791
7,0.2839757366175014
8,0.2904677612869049
9,0.27026980583057447
10,0.25815226655584217
