,bands,correlation
7,r-i,0.9793298443632285
9,i-z,0.9677161950751617
4,g-r,0.9562123339875545
8,r-z,0.9429592898231995
5,g-i,0.91613109836264
0,u-g,0.8796806622529425
6,g-z,0.871334542320745
1,u-r,0.7950361338396666
2,u-i,0.7437956013299452
3,u-z,0.686217831393816
